auth_name,code,name,description,scope,coordinate_system_auth_name,coordinate_system_code,geodetic_crs_auth_name,geodetic_crs_code,conversion_auth_name,conversion_code,area_of_use_auth_name,area_of_use_code,text_definition,deprecated
EPSG,2177,ETRS89 / Poland CS2000 zone 6,,,EPSG,4531,EPSG,4258,EPSG,18306,EPSG,1521,,0
EPSG,2178,ETRS89 / Poland CS2000 zone 7,,,EPSG,4531,EPSG,4258,EPSG,18307,EPSG,1522,,0
EPSG,2179,ETRS89 / Poland CS2000 zone 8,,,EPSG,4531,EPSG,4258,EPSG,18308,EPSG,1523,,0
EPSG,2180,ETRS89 / Poland CS92,,,EPSG,4531,EPSG,4258,EPSG,18300,EPSG,1192,,0
EPSG,2188,Azores Occidental 1939 / UTM zone 25N,,,EPSG,4400,EPSG,4182,EPSG,16025,EPSG,1344,,0
EPSG,2189,Azores Central 1948 / UTM zone 26N,,,EPSG,4400,EPSG,4183,EPSG,16026,EPSG,1301,,0
EPSG,2190,Azores Oriental 1940 / UTM zone 26N,,,EPSG,4400,EPSG,4184,EPSG,16026,EPSG,1345,,0
EPSG,2191,Madeira 1936 / UTM zone 28N,,,EPSG,4400,EPSG,4185,EPSG,16028,EPSG,1314,,1
EPSG,2192,ED50 / France EuroLambert,,,EPSG,4499,EPSG,4230,EPSG,18086,EPSG,1326,,1
EPSG,2193,NZGD2000 / New Zealand Transverse Mercator 2000,,,EPSG,4500,EPSG,4167,EPSG,19971,EPSG,3973,,0
EPSG,2194,American Samoa 1962 / American Samoa Lambert,,,EPSG,4497,EPSG,4169,EPSG,15301,EPSG,1027,,1
EPSG,2195,NAD83(HARN) / UTM zone 2S,,,EPSG,4400,EPSG,4152,EPSG,16102,EPSG,3110,,0
EPSG,2196,ETRS89 / Kp2000 Jutland,,,EPSG,4400,EPSG,4258,EPSG,18401,EPSG,2531,,0
EPSG,2197,ETRS89 / Kp2000 Zealand,,,EPSG,4400,EPSG,4258,EPSG,18402,EPSG,2532,,0
EPSG,2198,ETRS89 / Kp2000 Bornholm,,,EPSG,4400,EPSG,4258,EPSG,18403,EPSG,2533,,0
EPSG,2199,Albanian 1987 / Gauss Kruger zone 4,,,EPSG,4530,EPSG,4191,EPSG,16204,EPSG,1025,,1
EPSG,2200,ATS77 / New Brunswick Stereographic (ATS77),,,EPSG,4500,EPSG,4122,EPSG,19945,EPSG,1447,,0
EPSG,2201,REGVEN / UTM zone 18N,,,EPSG,4400,EPSG,4189,EPSG,16018,EPSG,1693,,0
EPSG,2202,REGVEN / UTM zone 19N,,,EPSG,4400,EPSG,4189,EPSG,16019,EPSG,3859,,0
EPSG,2203,REGVEN / UTM zone 20N,,,EPSG,4400,EPSG,4189,EPSG,16020,EPSG,3858,,0
EPSG,2204,NAD27 / Tennessee,,,EPSG,4497,EPSG,4267,EPSG,15302,EPSG,1411,,0
EPSG,2205,NAD83 / Kentucky North,,,EPSG,4499,EPSG,4269,EPSG,15303,EPSG,2202,,0
EPSG,2206,ED50 / 3-degree Gauss-Kruger zone 9,,,EPSG,4530,EPSG,4230,EPSG,16269,EPSG,1524,,0
EPSG,2207,ED50 / 3-degree Gauss-Kruger zone 10,,,EPSG,4530,EPSG,4230,EPSG,16270,EPSG,1525,,0
EPSG,2208,ED50 / 3-degree Gauss-Kruger zone 11,,,EPSG,4530,EPSG,4230,EPSG,16271,EPSG,1526,,0
EPSG,2209,ED50 / 3-degree Gauss-Kruger zone 12,,,EPSG,4530,EPSG,4230,EPSG,16272,EPSG,1527,,0
EPSG,2210,ED50 / 3-degree Gauss-Kruger zone 13,,,EPSG,4530,EPSG,4230,EPSG,16273,EPSG,1528,,0
EPSG,2211,ED50 / 3-degree Gauss-Kruger zone 14,,,EPSG,4530,EPSG,4230,EPSG,16274,EPSG,1529,,0
EPSG,2212,ED50 / 3-degree Gauss-Kruger zone 15,,,EPSG,4530,EPSG,4230,EPSG,16275,EPSG,1530,,0
EPSG,2213,ETRS89 / TM 30 NE,,,EPSG,4400,EPSG,4258,EPSG,16430,EPSG,2546,,0
EPSG,2214,Douala 1948 / AOF west,,,EPSG,4400,EPSG,4192,EPSG,18415,EPSG,2555,,1
EPSG,2215,Manoca 1962 / UTM zone 32N,,,EPSG,4400,EPSG,4193,EPSG,16032,EPSG,2555,,0
EPSG,2216,Qornoq 1927 / UTM zone 22N,,,EPSG,4400,EPSG,4194,EPSG,16022,EPSG,2573,,0
EPSG,2217,Qornoq 1927 / UTM zone 23N,,,EPSG,4400,EPSG,4194,EPSG,16023,EPSG,2572,,0
EPSG,2218,Scoresbysund 1952 / Greenland zone 5 east,,,EPSG,1031,EPSG,4195,EPSG,18425,EPSG,3370,,0
EPSG,2219,ATS77 / UTM zone 19N,,,EPSG,4400,EPSG,4122,EPSG,16019,EPSG,1531,,0
